jobtitle,skills
Sr Test Automation Engineer,"Scripting (Python, Perl, Ruby, Groovy), Docker or LXC, VM Technologies (AWS or OpenStack), Automated Tests for Web Services, Performance Testing, Build Technologies"
Snr Front End Software Engineer(10+ Years),Raect JS
Information Security Engineer,"Information Security, Burp Suite, Kali Linux, OSCP"
IOS Tester,"IOS, Swift, Xcode, Automation"
Java Front End Lead / Sr. Developer,Java Front End Lead / Sr. Developer
Technical Support - REST/API,"4+ yrs exp, SaaS tech, OpenStack, Linux, networking, REST APIs, SDK, Scripting (Python preferred), startup company exp"
Sr Software Engineering Manager - Leading BioTech Firm - San Carlos,"Javascript, Java, Management"
"Senior Tableau developer ( SQL , PL/SQL )","Tableau, SQL, PL/SQL, Oracle EBS"
Technical Manager - Business Intelligence,"Scrum, Microstrategy reports, Datastage"
Senior Developer - Birst Implementation,"BIRST tool, DWBI,"
"Android Firmware / Driver Engineer ** 150-180K, Bonus and RSUs **","Android, Android Driver, Firmware, Android NDK, HAL, Linux device driver development."
IAM consultant/ identity and access management Consultant,"ITIM, ITDI,ITDS, LDAP, AD, Linux"
Front-End Developer,"Front-End, React, Node, HTML ,CSS, Javascript"
MicroFocus Developer,"Developer, MicroFocus, Cobol, SQL Server, EBCIDIC, ASCII, Data Warehouse"
JavaScript Developer (Contract),JavaScript
Mobile Product Designer,"experience in interaction and visual design, Sketch, Adobe CC including Illustrator"
"Director, IT Compliance Solutions Fraud Solutions",PMP Vendor relationship management Banking Domain
JBoss Admin,"JBoss/WebSphere/WebLogic administration, load balancing, Javascript framework, perl, bash, apache, weblogic, iPlanet"
Engineering Manager/Python,"Python, Django, MySQL, LAMP"
DOT NET Developer for CRM,"Unix, Core Java, j2EE, Sql Server, Windows scripting , Visual Basic , .NET"
Software Engineering Manager,"Hands on Software Development, strong management and leadership experience, Full Stack Development"
Salesforce Architect and Salesforce Lead,"salesforce, salesforce lead, salesforce architect , Apex, Jitterbit"
Java Developer with Performance Engineering,"Java, JSP, J2EE, Servlets, MVC Framework, Elastic search, HTML, UML, XML, HTTPS, CSS, AJAX, Java Script, JSON, JDBC, Struts, Android Development, JENKINS and XML, SOAP UI, TOAD, Dynatrace, ITCAM"
Oracle Billing Consultant - RMB/BRM/CCB,"Oracle RMB or Oracle CC&B (or versions prior to CC&B), SOA platform, Eclipse IDE in a J2EE environment, JavaScript, JSP, HTML, JDBC, and Unix/Linux. Fluency in PL/SQL,"
web developer - W2 only,"HTML, CSS, JavaScript, JSON, jQuery, Bootstrap, Backbone.js, Angular.js"
PHP-Web UI Developer,"PHP, Web, UI, javascript, jquery, CSS, magento, LAMP"
Sr. Project Manager (CCAR OR Basel) 0865/0866,"ccar, basel, project manager,"
Staffing - Business Development Managers,Recruiter MSP VMS Staffing Sourcing Sourcer Recruitment Talent
Python Manager,"Python, Django, MySQL,Scrum,LAMP/LEMP stack"
Solution Consultant,"PMP, Bachelor degree and 10 years of experience REQUIRED"
BI Manager,"BI Manager, DW Manager, Manager"
Security Architect,"Architecting, Design, Security, Firewall, Network, Audit, compliance"
Programmer Analyst,C# ASP.Net Visual Studio SQL T-SQL
UC Deployment Lead,"CUCM/CUC, PBX, VoIP, routers, telco, excellent communication skills, Cisco"
Project Manager,"5+ years of project management, M&A in technology industry experience with a successful track record of managing multiple projects concurrently, PMP certification"
Sr. Full stack web Developer,"with JavaScript, CSS and HTML (JavaScript, jQuery, AJAX, JSON)"
Senior Physical Design Engineer,"Bachelor's, Electrical Engineering"
"Unified Communications Engineer - 3 Month Contact in San Francisco, C",Architect webex jabber CCVP / CCIE
Continuous Improvement Manager - Remote (West Coast),"Continuous Improvement, Plant, Manufacturing, Food, Beverage, Lean manufacturing, Kaizen, Team facilitation, Operations management, OEE, PMI, MES, Operational Excellence, deployment"
Revenue Business Analyst,"Revenue Recognition, Fair market value, deferrals, Oracle AR, BAT, UAt"
Sr Core Java Developer,Sr Core Java Developer
Project Coordinator,Provides technical and administrative support to project manager(s). Responsible for final assembly and quality of printed materials.
Board Level & PLC HW Engineer -5775,Provide expertise in board and PLC reference designs
Product Support / Applications Support,Application Applications Support Software testing support test Troubleshooting Troubleshoot resolve problems User Support Operations Support
Devops,"Devops,CI ,Jenkins"
Application Engineer IV,Telecommuting not available Travel not required
".NET - Development Lead, Redwood City, CA","SDLC / .NET Development / HTML, JAVA Script, CSS, AJAX / Visual Source Safe / Web Services /"
Desktop Support,"desktop support, SCCM/Casper, Sophos Windows, 7/Mac OSX, Service Now, Ticketing System, MS Office, IT Service Desk Specialist"
NetSuite Developer !! remote position,NetSuite Developer
Principal Node.js for Visual Collaboration Software Product/ Device,"node.js, web API, java, javascript"
"Splunk Engineer at Santa Clara, CA","Splunk, client-server, VMs, AWS, GCP, Data Analyst to integrate"
Amazon Redshift Data Engineer *** Direct client ***,"Amazon Redshift, Amazon Data PipeLine, Scala, Spark"
Data Engineer,"data engineer, data warehousing, hadoop, python, unix, hive, scribe,etl, big data, sql, oop, tableau, vertica, spark"
Data Engineer,"python,SQL,Data Model/Data Quality"
Technical Support Analyst,"Customer service, Help desk, Active Directory, Microsoft Exchange, Organizational change management"
Contracts Analyst,Experience working and supporting an IT Infrastructure environment - dealing with 400 IT Vendors
ASIC Design Engineer,"Good understanding of computer architecture, logic design and VLSI design."
Back end Java developer,"Back end Developer, Java, MVC, JDBC, postgres and RESTful"
BI-BO Developer,BI/BO Developer (Wave Analytics-IS A MUST)
Project manager,SAP project management
Sr User Experience Designer,"HTML5, UX, Actionscript, Adobe, Mobile"
Peoplesoft Application Architect - 12374,"IT, Information Technology, peoplesoft, architect"
Shibboleth Admin,Shibboleth Puppet
Senior Marketing Analyst,"SEM , SEC , PPC , B2B Marketing"
Sr. Java Developer,"Core Java Developer, Algorithm,Data Structures,Spring, REST, SOA, eHCache, (Oracle) ,Node.JS, REST web Services, Maven, and Shell"
Helpdesk Support Specialist,"Troubleshooting, Hardware & Software Installations, Communication skills"
UI/UX Developer.,"Focus is on UI/UX, wireframes, frontend , JavaScript, AngularJS , mobile app development using PhoneGap or Cordova"
Information Security and Compliance ( GRC ) / IT Auditor,Information Security / IT Auditor Consultants with 1-4 years experience and a passion for and understanding of SSAE 16 SOC 1 and SOC 2 service auditor testing.
Front End Engineer,Senior front end engineer
Online Marketing Specialist,online marketing
Business Development Manager- Cloud and Infrastructure services,Business Development Manager- Cloud & Infrastructure services
Senior UI Developer - Multiple positions,"5 to 10 years of UI, Frontend development, Javascript, CSS, Angular.Js and Bootstrap"
SOX Consultant,"SOX, ERP"
Clarity Analyst,"CA PPM ,Niku, Clarity"
Salesforce.com Developer,"Salesforce, visualforce, RestAPI, Jva, Remoting,"
Physical Design Engineer,"floor planning, Low Power PNR flow, timing optimization"
Manager of Release Management,"Release Management, Project Management, Manager"
Lead Mongo DB Technical,"""Mongo DB"""
Software Engineer with Search Tools,"Web UI, SPA, big data, open source,Javascript"
Senior Scala Engineer,"Scala, SaaS"
Senior Mobile Developer (Android),"Android, Java, NDK, Native, Amazon, SlideME, C. C++, REST"
Web Analytics Analyst-A/B Testing,"A/B Testing site optimization,,Not looking for business analyst..Has to be strong in the required skills"
Application Engineer IV,Telecommuting not available Travel not required
Eloqua Tehnical Consultant,"Eloqua Tehnical Consultan Marketing domain or CRM, & Marketing Automation Tools,Salesforce"
UI/UX Designer,UI/UX Designer User Experience User Interface
UX Designer,"UI, UX, Mobile, Web, Adobe"
Cyber Security Manager,"cyber security analysis, security software engineering, risk management, OKTA, F5 /Palo Alto FW, WAFs, PCI/DSS /SOX, CISSP, CISM, CISA"
System Administrator,"Microsoft Certificate Services,SSL/TLS, S/MIME, authentication, EFS, 802.1X, Code Signing"
Database Engineer,"Apache Storm, Java, Linux"
HFM Developer,HFM /DRM/WF -Developer
Portfolio Management Consultant 0859,"project management, portfolio management, excel, financial, budget, forecast, actuals"
ERP PeopleSoft Administrator,"ERP Peoplesoft, Oracle, UNIX"
Sr. Business Systems Analyst,ERP systems implementations; Supply Chain processes; healthcare/healthcare systems
Salesforce developer,"force.com, apex, visualforce"
Oracle Development Engineer,"Oracle 10, SQL, PL/SQL"
"Games Tester (Windows, Games)","Testing - Black Box (Manual), Testing - Games"
Software Developer - JAVA,"Java, Rest,Soap,Webservices"
"Information Systems Analyst, Senior","SAP Financial, CPA,Reconciliation, Accounts Payable, GENERAL LEDGER"
UI Architect,"css, html, javascript, java, j2ee, angular.js, backbone.js"
"Need Mule ESB Developer @ San Jose, CA","Core java, J2ee, Mule ESB, Oracle/MySQL/ Postgress"
XSL Developer,"Ecrion, XML, xslt, xpath, apache fop, xf"
Configuration Management Process and Tools Support,"ITIL V3 Configuration Management, Change Management, and Release and Deployment Management, ClearQuest, ClearCase"
PC Support Associate | Oakland (Requisition ID 10971),"Please see ""Required Skills and Abilities"" section below for this information."
Senior Big Data Developer,"Big Data, AWS Hadoop, Java development, Spark, Redshift, Lambda"
Site Reliability Engineer,"Site Reliability Engineer, storage systems, linux, AWS, Mango"
BUSINESS DEVELOPMENT MANAGER (MULTIPLE OPENINGS),NEW BUSINESS DEVELOPMENT/SALES MANAGER
Network Security,"network, security, infrastructure, firewall"
"Java Developer, Information Management and Security","Java, J2EE SQL Queries Database knowledge of Oracle and MySQL, Network and Application Layer Security"
Data Analyst Contractor,"expert in sql, python,perl, teradata, tableau"
Software Development Engineer in Java with Test (SDET),"Software Engineer in Test, SDET, Python, Ruby, AWS, Apache, Tomcat, MySQL, NoSQL TestNG, Junit"
Aruba wireless Consultant,"aruba, telephony, cisco, acmp"
Technical test Lead Oracle CC&B Testing,"Oracle CC&B, Oracle BRMS, Oracle Financials, Enterprise COTS"
Callidus ICM Compensation Developer,"TrueComp, ICM, Callidus"
.NET ASP Developer,"MVC, SQL, SSRS, ASP, .Net, SSO, WCF, PeopleSoft"
PeopleSoft Interaction Hub (IH) Administrator,"PeopleTools 8.55 Fluid framework ,PeopleSoft technical certification ,cloud-based service ,PeopleSoft Interaction Hub,Branding ,PeopleTools-PeopleCode, Stylesheets, HTML, iScript,PeopleSoft 9.1"
"Senior Java Developer (Back End) - JobID: 95,","Java, J2EE, Spring, MVC, RESTful API's, JSON, Apache Tomcat, database design, performance-tuning, Oracle DB"
"Teamcenter Architects/developers, Bay Area, CA - 6-12 Months",Team Center
SAP RMCA,"SAP RMCA / FICA , SAP configurations, SAP Finance modules"
IBM Websphere Portal lead with security Exp,"IBM WebSphere platform, OWASP , portal , Java & UI frameworks, spring, Webservices"
SITE MARCHANDISING SPECIALIST,"ecommerce,AB Testing"
Sr. Data Scientist - JP,"Data Scientist, Python, Analytics, R, Machine Learning, algorithm, clustering, grouping"
Data Collection Technician,"Data Collection, Bash Scripting, Shell Commands, Audio Signal Quality, LANs, Routers, DHCP"
"Required DELL BOOMI Developer in Fremont, CA","SAP,ABAP,Dell Boomi,HR"
Desktop Support with Mac Experience,"Desktop Support, Mac, OSX, Adobe, Photoshop, Outlook"
Software Engineer in Qlty (Data Quality Engineer),"Data, quality, hadoop/hive/bigdata, warehouse, qlikview/tableau/cassandra"
CTO - Artificial Intelligence/Natural Language Processing,CTO - Artificial Intelligence Company (NLP + Machine Learning)
Batch Tester (Software QA),"batch, sql, unix, autosys, JIL commands, banking, financial"
Sr Voice Engineer,"Cisco certifications such as CCNA, CCDA, CCDP, CCNP Voice, Cisco IP Phones (7900 series),Cisco Call Manager (UCS)"
Administrative Assistant,admin assistant
Senior Developer - Big Data,"Big Data, ETL, SQL, Hadoop/Hive, PYTHON SCRIPTING, Java/NodeJS, Linux (Administration, Bash scripting)"
"Business Objects with Oracle Finance (ERP) exp, Bay Area-CA, 6 -9 mnths(LOCAL candidates)","BO, Oracle finance"
Solution Architect/Program Manager,Solution Architect/Program Manager Multi channel Contact Routing WFM IVR ACD CTI CRM UI UX JSON
NOC Resident Engineer,Network Engineer
Backend Engineer,Python/Django
CEQA NEPA Environmental Planner,"CEQA, NEPA, EIS, EIR, Microsoft Office Suite, federal, sate, environmental review, permitting"
Flash/Flex Developer 12383,"Flex, Flash, MXML, ActionScript, JavaScript, HTML5, REST API, SQL"
Business Analyst- Banking (local candidates only),"Business Analysis, Bank, mobile banking, digital channels, online Banking"
PCB Designer/Layout,PCB Designer/Layout
Lawson/Infor Technical Project Manager,"Lawson,Infor,Project Manager, Cloud"
Senior Cloud DevOps Engineer with jenkins Exp,"Jenkins, Github, AWS, build, DevOps, Ansible"
Peoplesoft Hub Developer,Peoplesoft Interaction Hub Developer
Teradata developer (min. 9+ years),"teradata, ETL, Tableau, Talend, Informatica, Ab Initio"
Oracle R12 Script Developer,"Oracle R12, Shell Scripting, Unix, EBS"
Application Development Manager,"IT Project Management, Leadership, Web technologies and applications, IBM i5,"
Urgent need for IT Director/VP,"IT Director , Vice President"
UI Engineering Manager (full rebuild in React) ($160-185k +equity),"Javascript MVC frameworks, SaaS, Web Apps, Commercial Grade Apps in Production, Team Lead experience"
Technical Infrastructure Lead - 12402,"infrastructure, Solutions Architect, Supply Chain. Warehouse management, RHEL, Windows, VMWare, AIX, Oracle Weblogic, RAC, SQL Server, UDB, Datastage, ETL, GoldenGate, MQ, WMB, B2B Gateways, Disaster"
Business Analyst,(BUSINESS ANALYST OR BUSINESS SYSTEM ANALYST ) AND(ECOMMERCE OR E-COMMERCE OR RETAIL ) AND(STERLING ORDER MANAGEMET OR STERLING ) AND(INTEGRATION )
AWS System Engineer,AWS Casssandra python
Information Systems Administrator,"Unix/Linux, Administration, security, Splunk, Oracle, Infosec, PKI, Enterpise experience"
Platform Quality Engineer,"Systems Engineer, Quality Engineer, Software Engineer, Developer, Bro IDS, Bro Network Monitoring, Bro, Cybersecurity"
Project Manager,"Project Management, routers, switches, security, digital certificates, wireless, WAN/LAN"
Lead Windows Mobile Developer with BLE or Bluetooth Smart,"BLE,Bluetooth Smart,C#, .NET Frameworks, Sqlite, XAML,JSON, XML, REST,SOAP"
SaaS IT Operations Manager (Early Startup) $150-200k,"Production Linux Admin, VMWare, Team Lead, SRE, Process Oriented, Vendor Management,"
